TICKER;PRECO;DY;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO
VTRT11;0,00;0,00;;;20,14;;;1.030.654.046,20;499,00;Ativa;
WPLZ11;63,99;0,63;0,61;19.029,09;1,12;22,10;;107.158.704,61;1.984,00;Passiva;
ZIFI11;0,00;0,00;;;0,30;;;11.719.405,61;6,00;Ativa;
VTPL11;0,00;0,00;;;0,89;;;114.529.626,27;54,00;Passiva;
VTVI11;0,00;0,00;;;11,26;;;68.398.646,69;1,00;Ativa;
VTXI11;0,00;0,00;;;24,90;;;3.518.132,12;1,00;Ativa;
VVPR11;99,90;7,12;1,00;70.534,00;9,72;;;231.091.836,17;990,00;Ativa;
VXXV11;0,00;0,00;;;3,18;;;72.104.144,88;4,00;Ativa;
YUFI11;0,00;0,00;;;9,08;;;37.259.664,00;7,00;Ativa;
STRX11;33,08;1.277,12;0,00;;0,19;;;312.941.691,31;53,00;Passiva;
HPDP11;81,95;2,76;0,81;213.840,58;1,29;;;293.505.622,22;366,00;Passiva;
HRDF11;1,70;0,00;0,94;7.057,63;59,74;;;13.751.330,15;1.042,00;Ativa;
HSAF11;101,00;4,22;1,02;437.624,80;1,40;;;89.390.586,19;2.546,00;Ativa;
HSML11;87,13;4,48;0,90;2.855.870,29;2,11;;;1.533.108.424,80;118.070,00;Ativa;
IRDM11;139,31;9,69;1,38;10.150.103,94;24,42;15,56;15,13;2.021.543.976,46;147.035,00;Ativa;
RBCO11;61,45;9,23;0,60;273.823,23;4,03;;;385.537.348,53;3.707,00;Ativa;
RBDS11;22,50;0,00;1,00;4.625,74;4,80;35,29;-61,87;2.847.464,42;1.095,00;Ativa;
ARCT11;114,50;21,65;1,18;983.037,89;52,34;;;42.242.859,00;4.043,00;Ativa;
ATCR11;0,00;0,00;;;0,78;;;71.930.854,04;33,00;Ativa;
BBFI11B;2.455,03;12,24;0,97;434.656,23;8,88;2,01;-4,51;328.167.088,99;7.694,00;Passiva;
BBIM11;0,00;0,00;;;27,90;-15,62;;63.328.253,95;20,00;Ativa;
DOVL11B;0,00;0,00;;;2,88;;;58.644.401,60;7,00;Ativa;
FISC11;165,00;0,42;1,05;33.000,00;0,28;;;247.733.253,58;66,00;Ativa;
